start-geopoint,_start-geopoint_latitude,_start-geopoint_longitude,_start-geopoint_altitude,_start-geopoint_precision,Region_faci,Facility_id4,gps,_gps_latitude,_gps_longitude,_gps_altitude,_gps_precision
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7970443 39.6471391 0.0 2900.0,12.7970443,39.6471391,0,2900
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.9365292 39.517321 0.0 3200.0,12.9365292,39.517321,0,3200,6,2,12.9374981 39.5166115 2468.2999999999997 4.612,12.9374981,39.5166115,2468.3,4.612
,,,,,6,4,13.6386333 39.17399 2559.7 5.0,13.6386333,39.17399,2559.7,5
,,,,,6,4,13.6386298 39.1739889 2559.7 4.82,13.6386298,39.1739889,2559.7,4.82
,,,,,6,4,13.6386787 39.1739407 2560.0 5.0,13.6386787,39.1739407,2560,5
,,,,,6,4,13.638766 39.1738996 2558.2 4.8,13.638766,39.1738996,2558.2,4.8
,,,,,6,4,13.6386891 39.1740167 2559.5 4.96,13.6386891,39.1740167,2559.5,4.96
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
13.8648921 39.7384158 2670.5 10.9,13.8648921,39.7384158,2670.5,10.9,6,5,13.8648756 39.7384134 2673.0 1196.317,13.8648756,39.7384134,2673,1196.317
13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200,6,5,13.8640889 39.7380424 0.0 2200.0,13.8640889,39.7380424,0,2200
12.9365292 39.517321 0.0 3200.0,12.9365292,39.517321,0,3200,6,2,12.9374681 39.5165948 2476.6 4.783,12.9374681,39.5165948,2476.6,4.783
12.9374717 39.5166 2475.5 34.571,12.9374717,39.5166,2475.5,34.571,6,2,12.9374769 39.5166312 2483.7999999999997 4.75,12.9374769,39.5166312,2483.8,4.75
12.9374917 39.5165533 2472.5 1992.417,12.9374917,39.5165533,2472.5,1992.417,6,2,12.9374377 39.5166229 2481.2999999999997 3.857,12.9374377,39.5166229,2481.3,3.857
,,,,,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.7985711 39.6484294 0.0 200.0,12.7985711,39.6484294,0,200
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.8069809 39.6417436 891.2 12.033,12.8069809,39.6417436,891.2,12.033,6,3,12.797688 39.6468165 1239.9 1600.0,12.797688,39.6468165,1239.9,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.7985711 39.6484294 0.0 200.0,12.7985711,39.6484294,0,200
,,,,,6,4,13.6388768 39.1741333 2610.2 3.5,13.6388768,39.1741333,2610.2,3.5
,,,,,6,4,13.6388811 39.1741307 2610.2 4.305,13.6388811,39.1741307,2610.2,4.305
,,,,,6,4,13.6388512 39.1741086 2610.6 3.0,13.6388512,39.1741086,2610.6,3
,,,,,6,4,13.638846 39.1740979 2610.4 3.02,13.638846,39.1740979,2610.4,3.02
14.0390983 39.0664367 1964.4 2188.866,14.0390983,39.0664367,1964.4,2188.866,6,6,14.0377582 39.0617958 2005.3 2299.999,14.0377582,39.0617958,2005.3,2299.999
,,,,,6,7,14.1141577 38.6016345 2257.7 5.0,14.1141577,38.6016345,2257.7,5
,,,,,6,7,14.1141824 38.6017205 2258.1 5.0,14.1141824,38.6017205,2258.1,5
,,,,,6,7,14.1141435 38.6017154 2257.7 4.92,14.1141435,38.6017154,2257.7,4.92
14.1142821 38.6014903 2228.5 2.05,14.1142821,38.6014903,2228.5,2.05,6,7,14.1143421 38.6013841 2207.7 4.8,14.1143421,38.6013841,2207.7,4.8
,,,,,6,2,12.9373789 39.5166807 2490.1 4.98,12.9373789,39.5166807,2490.1,4.98
,,,,,6,2,12.9374817 39.5166814 2476.5 4.666,12.9374817,39.5166814,2476.5,4.666
,,,,,6,2,12.9374058 39.5167148 2469.7 4.82,12.9374058,39.5167148,2469.7,4.82
,,,,,6,2,12.9374377 39.5166539 2474.7999999999997 4.82,12.9374377,39.5166539,2474.8,4.82
,,,,,6,2,12.9374392 39.5166808 2471.7 4.8,12.9374392,39.5166808,2471.7,4.8
,,,,,6,2,12.9374815 39.5167431 2484.7999999999997 4.6,12.9374815,39.5167431,2484.8,4.6
,,,,,6,2,12.9374751 39.5164922 2472.6 4.68,12.9374751,39.5164922,2472.6,4.68
,,,,,6,2,12.9374594 39.5165726 2471.8999999999996 5.0,12.9374594,39.5165726,2471.9,5
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.8000937 39.6481068 0.0 300.0,12.8000937,39.6481068,0,300
12.7998915 39.6456875 1712.4 15.8,12.7998915,39.6456875,1712.4,15.8,6,3,12.7985711 39.6484294 0.0 200.0,12.7985711,39.6484294,0,200
12.797688 39.6468165 1732.5 1600.0,12.797688,39.6468165,1732.5,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.7985711 39.6484294 0.0 200.0,12.7985711,39.6484294,0,200,6,3,12.7985711 39.6484294 0.0 200.0,12.7985711,39.6484294,0,200
12.7985527 39.6483958 0.0 1600.0,12.7985527,39.6483958,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.7975683 39.6458487 1771.0 300.0,12.7975683,39.6458487,1771,300,6,3,12.797688 39.6468165 0.0 200.0,12.797688,39.6468165,0,200
12.7975683 39.6458487 0.0 300.0,12.7975683,39.6458487,0,300,6,3,12.7975683 39.6458487 0.0 300.0,12.7975683,39.6458487,0,300
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600,6,3,12.797688 39.6468165 0.0 1600.0,12.797688,39.6468165,0,1600
14.1225983 38.5926692 2272.2 5.966,14.1225983,38.5926692,2272.2,5.966,6,7,14.1142933 38.6015533 2231.2 4.5,14.1142933,38.6015533,2231.2,4.5
14.1221611 38.5905294 2270.7999999999997 100.0,14.1221611,38.5905294,2270.8,100,6,7,14.114297 38.6015644 2231.2 4.45,14.114297,38.6015644,2231.2,4.45
,,,,,6,2,12.9375838 39.5165883 2437.8999999999996 4.95,12.9375838,39.5165883,2437.9,4.95
,,,,,6,2,12.9375584 39.516582 2432.5 4.766,12.9375584,39.516582,2432.5,4.766
,,,,,6,2,12.9375114 39.5166807 2475.0 4.616,12.9375114,39.5166807,2475,4.616
,,,,,6,4,13.6388083 39.173945 2599.6 4.9,13.6388083,39.173945,2599.6,4.9
,,,,,6,4,13.6388099 39.1739153 2598.8 4.9,13.6388099,39.1739153,2598.8,4.9
